id,domain,name,altNames,description,avgMonthlyPosts,paywall,topCategories,topTopics,topCountries,topLabels,avgBiasRating,adFontesBiasRating,allSidesBiasRating,mbfcBiasRating,monthlyVisits,globalRank,logoLarge,logoFavIcon,logoSquare
e067de17a306469eb43a3cab4ed57150,msn.com,msnNOW,[],"your customizable and curated collection of the best in trusted news plus coverage of sports, entertainment, money, weather, travel, health and lifestyle, combined with outlook/hotmail, facebook, twitter, bing, skype and more.",2459,,"[{'name': 'Health', 'count': 3}, {'name': 'Weather', 'count': 2}, {'name': 'Business', 'count': 1}, {'name': 'Politics', 'count': 1}, {'name': 'Sports', 'count': 1}, {'name': 'World', 'count': 1}]","[{'name': 'Cannabis', 'count': 1}, {'name': 'Venture Capital', 'count': 1}]","[{'name': 'us', 'count': 11}]",[],,,,,890110683,40,,,
cad3d7a89ce24060a6fb3964c8b50089,nytimes.com,NY Times,"['New York Times', 'NYTimes', 'NYT', 'New York Times', 'NYTimes.com', 'New York', 'NY', 'NYC']","Breaking news, interviews, and headlines.",951,True,"[{'name': 'Lifestyle', 'count': 73}, {'name': 'Entertainment', 'count': 57}, {'name': 'Politics', 'count': 55}, {'name': 'World', 'count': 41}, {'name': 'Business', 'count': 25}, {'name': 'Environment', 'count': 22}, {'name': 'Sports', 'count': 21}, {'name': 'Finance', 'count': 18}, {'name': 'General', 'count': 12}, {'name': 'Tech', 'count': 11}]","[{'name': 'Shopping', 'count': 39}, {'name': 'New York', 'count': 37}, {'name': 'Europe', 'count': 23}, {'name': 'Russia-Ukraine War', 'count': 18}, {'name': 'Books', 'count': 16}, {'name': 'California', 'count': 13}, {'name': 'Climate Change', 'count': 13}, {'name': 'Crime', 'count': 13}, {'name': 'Joe Biden', 'count': 12}, {'name': 'Middle East', 'count': 11}]","[{'name': 'us', 'count': 372}]","[{'name': 'Non-news', 'count': 175}, {'name': 'Pop Culture', 'count': 45}, {'name': 'Paid News', 'count': 39}, {'name': 'Opinion', 'count': 32}, {'name': 'In-Depth', 'count': 4}, {'name': 'Roundup', 'count': 1}]",leansLeft,Leans Left,Leans Left,Leans Left,662519348,75,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/NYT_Reg_64be515bf9/NYT-Reg_NYT_Reg_64be515bf9.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/The_New_York_Times_Fav_Icon_1196e2a825/The-New-York-Times-FavIcon_The_New_York_Times_Fav_Icon_1196e2a825.png'},{'url': 'https://gawq.s3.us-east-2.amazonaws.com/NYT_Square_cdcc87ba15.png'}
372f1eb953ba4c9cbd3830c47db3342a,cnn.com,CNN,"['CNN.com', 'CNN News', 'anderson', 'anderson cooper', 'CNN .com', 'wolf blitzer', 'erin burnett', 'don lemon', 'chris cuomo', 'jake tapper', 'brooke baldwin', 'dana bash', 'democrat', 'democratic', 'liberal']","Major US-based media organization covering world, weather, entertainment, politics and health news.",3800,False,"[{'name': 'Politics', 'count': 1105}, {'name': 'General', 'count': 576}, {'name': 'Entertainment', 'count': 461}, {'name': 'World', 'count': 421}, {'name': 'Business', 'count': 319}, {'name': 'Sports', 'count': 307}, {'name': 'Lifestyle', 'count': 296}, {'name': 'Tech', 'count': 217}, {'name': 'Travel', 'count': 209}, {'name': 'Finance', 'count': 204}]","[{'name': 'Russia-Ukraine War', 'count': 326}, {'name': 'Crime', 'count': 226}, {'name': 'Donald Trump', 'count': 190}, {'name': 'Social Issues', 'count': 179}, {'name': 'Markets', 'count': 158}, {'name': 'Russia', 'count': 151}, {'name': 'Joe Biden', 'count': 145}, {'name': 'Ukraine', 'count': 132}, {'name': 'Media', 'count': 120}, {'name': 'China', 'count': 117}]","[{'name': 'us', 'count': 4060}]","[{'name': 'Non-news', 'count': 428}, {'name': 'Paid News', 'count': 195}, {'name': 'Opinion', 'count': 194}, {'name': 'Pop Culture', 'count': 76}, {'name': 'Roundup', 'count': 29}, {'name': 'Fact Check', 'count': 8}, {'name': 'Gallery', 'count': 6}]",leansLeft,Leans Left,Leans Left,Left,642356699,86,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/CNN_Reg_1d0c9bc5eb/CNN-Reg_CNN_Reg_1d0c9bc5eb.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/CNN_Fav_Icon_5d54dfad8c/CNN-FavIcon_CNN_Fav_Icon_5d54dfad8c.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/CNN_Square_e9ef9ce7a8/CNN-Square_CNN_Square_e9ef9ce7a8.png'}
e71de6084cf44ab09aee5646a4b196cd,espn.com,ESPN,"['ESPN.com', 'Sports', 'Football', 'NFL', 'NBA', 'MLB', 'WNBA', 'NHL', 'Rugby', 'College Sports', 'Football', 'Soccer', 'Baseball', 'Hockey', 'Basketball', 'Sporting', 'Softball', 'Tennis', 'Volleyball', 'Cricket', 'Golf']","Sports news coverage, scores, highlights and commentary.",2981,False,"[{'name': 'Sports', 'count': 3197}, {'name': 'Entertainment', 'count': 21}, {'name': 'Politics', 'count': 17}, {'name': 'General', 'count': 16}, {'name': 'Auto', 'count': 10}, {'name': 'Weather', 'count': 5}, {'name': 'Business', 'count': 4}, {'name': 'Finance', 'count': 3}, {'name': 'Health', 'count': 3}, {'name': 'Travel', 'count': 2}]","[{'name': 'Basketball', 'count': 938}, {'name': 'Football', 'count': 678}, {'name': 'College Sports', 'count': 606}, {'name': 'Soccer', 'count': 531}, {'name': 'NFL', 'count': 442}, {'name': 'NBA', 'count': 391}, {'name': 'Hockey', 'count': 317}, {'name': 'NHL', 'count': 282}, {'name': 'Baseball', 'count': 225}, {'name': 'European Football', 'count': 213}]","[{'name': 'us', 'count': 3197}]","[{'name': 'Non-news', 'count': 1084}, {'name': 'Opinion', 'count': 34}, {'name': 'Roundup', 'count': 13}, {'name': 'Pop Culture', 'count': 5}, {'name': 'Gallery', 'count': 1}]",unrated,,,,581731430,87,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/ESPN_Small_a9caeb050b/ESPN-Small_ESPN_Small_a9caeb050b.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/ESPN_Fav_Icon_bbf356b39d/ESPN-FavIcon_ESPN_Fav_Icon_bbf356b39d.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/ESPN_Square_038bedee2b/ESPN-Square_ESPN_Square_038bedee2b.png'}
1d67383990b64c0ba0c023f87d54a11c,news.yahoo.com,Yahoo! News,[],"Content aggregator that also publishes original stories on entertainment, finance, sports and more.",52711,False,"[{'name': 'General', 'count': 6048}, {'name': 'Politics', 'count': 5467}, {'name': 'Sports', 'count': 3923}, {'name': 'Entertainment', 'count': 2922}, {'name': 'Health', 'count': 744}, {'name': 'Tech', 'count': 693}, {'name': 'Weather', 'count': 675}, {'name': 'Business', 'count': 626}, {'name': 'Finance', 'count': 528}, {'name': 'Travel', 'count': 431}]","[{'name': 'Crime', 'count': 6624}, {'name': 'Russia-Ukraine War', 'count': 2042}, {'name': 'Social Issues', 'count': 1704}, {'name': 'Donald Trump', 'count': 1366}, {'name': 'Florida', 'count': 1313}, {'name': 'Basketball', 'count': 1250}, {'name': 'Russia', 'count': 1072}, {'name': 'California', 'count': 1031}, {'name': 'Joe Biden', 'count': 939}, {'name': 'Ukraine', 'count': 899}]","[{'name': 'us', 'count': 58115}]","[{'name': 'Non-news', 'count': 4100}, {'name': 'Pop Culture', 'count': 1185}, {'name': 'Opinion', 'count': 979}, {'name': 'Roundup', 'count': 212}, {'name': 'Gallery', 'count': 52}, {'name': 'Paid News', 'count': 30}, {'name': 'Fact Check', 'count': 14}, {'name': 'Press Release', 'count': 2}]",leansLeft,Leans Left,Leans Left,Leans Left,267624254,184,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Yahoo_Small_3e20ff614b/Yahoo-Small_Yahoo_Small_3e20ff614b.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Yahoo_Fav_Icon_560bb04979/Yahoo-FavIcon_Yahoo_Fav_Icon_560bb04979.png'},{'url': 'https://gawq.s3.us-east-2.amazonaws.com/Yahoo_Square_ca24aa9d55.png'}
b5604fbceed1463f8ea772fed5b9d859,washingtonpost.com,Washington Post,"['wapo', 'the washington post', 'wp', 'washingtonpost.com', 'thewashingtonpost.com', 'the post', 'wapo.com']","Breaking news and analysis on politics, business, entertainment, and more. ",12794,True,"[{'name': 'Sports', 'count': 5037}, {'name': 'Politics', 'count': 2723}, {'name': 'Business', 'count': 1925}, {'name': 'World', 'count': 1002}, {'name': 'Finance', 'count': 886}, {'name': 'Entertainment', 'count': 414}, {'name': 'General', 'count': 378}, {'name': 'Lifestyle', 'count': 330}, {'name': 'Weather', 'count': 269}, {'name': 'Health', 'count': 256}]","[{'name': 'College Sports', 'count': 2571}, {'name': 'Markets', 'count': 862}, {'name': 'Basketball', 'count': 595}, {'name': 'Russia-Ukraine War', 'count': 485}, {'name': 'Soccer', 'count': 471}, {'name': 'Football', 'count': 406}, {'name': 'Crime', 'count': 392}, {'name': 'Social Issues', 'count': 338}, {'name': 'NFL', 'count': 332}, {'name': 'Hockey', 'count': 331}]","[{'name': 'us', 'count': 12804}]","[{'name': 'Opinion', 'count': 1506}, {'name': 'Non-news', 'count': 864}, {'name': 'Roundup', 'count': 736}, {'name': 'Pop Culture', 'count': 90}, {'name': 'Gallery', 'count': 13}]",leansLeft,Leans Left,Leans Left,Leans Left,174165876,305,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Washington_Post_Reg_e092794eac/Washington-Post-Reg_Washington_Post_Reg_e092794eac.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/Washington_Post_Fav_Icon_18b55c2ff5/Washington-Post-FavIcon_Washington_Post_Fav_Icon_18b55c2ff5.png'},{'url': 'https://gawq.s3.us-east-2.amazonaws.com/WP_Square_059ade5dd2.png'}
1a0773d1dd9f4bd49ed319afe65ce952,people.com,People,"['people mag', 'people.com', 'hollywood', 'entertainment', 'celebrity', 'celebrity gossip', 'pop culture', 'celeb gossip']","Celebrity news, pop culture, and human interest articles.",3485,False,"[{'name': 'Entertainment', 'count': 2018}, {'name': 'Lifestyle', 'count': 1242}, {'name': 'General', 'count': 364}, {'name': 'Sports', 'count': 279}, {'name': 'Health', 'count': 156}, {'name': 'Politics', 'count': 126}, {'name': 'Travel', 'count': 62}, {'name': 'Weather', 'count': 21}, {'name': 'Auto', 'count': 14}, {'name': 'Tech', 'count': 11}]","[{'name': 'TV', 'count': 574}, {'name': 'Movies', 'count': 488}, {'name': 'Parenting', 'count': 464}, {'name': 'Fashion', 'count': 462}, {'name': 'Style', 'count': 443}, {'name': 'Crime', 'count': 307}, {'name': 'Music', 'count': 274}, {'name': 'Royal Family', 'count': 143}, {'name': 'Sports Figures', 'count': 105}, {'name': 'Amazon', 'count': 98}]","[{'name': 'us', 'count': 3748}]","[{'name': 'Pop Culture', 'count': 2362}, {'name': 'Non-news', 'count': 402}, {'name': 'Paid News', 'count': 144}, {'name': 'Opinion', 'count': 11}, {'name': 'Gallery', 'count': 5}, {'name': 'Roundup', 'count': 1}]",unrated,,,,157011967,336,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/People_Square_2ee9c74231/People-Square_People_Square_2ee9c74231.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/People_Fav_Icon_f50d003c3b/People-FavIcon_People_Fav_Icon_f50d003c3b.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/People_Square_914f2a982d/People-Square_People_Square_914f2a982d.png'}
0de890788bc14daeb16ec0e6d67fee74,usatoday.com,USA Today,"['usatoday', 'usatoday.com', 'usa today mag', 'usa today magazine', 'ustoday', 'us today', 'ustoday.com', 'usa today newspaper', 'usa today news']","Latest national, international, and political news.",6089,False,"[{'name': 'Sports', 'count': 2869}, {'name': 'Finance', 'count': 712}, {'name': 'Entertainment', 'count': 621}, {'name': 'Politics', 'count': 610}, {'name': 'Tech', 'count': 186}, {'name': 'Lifestyle', 'count': 180}, {'name': 'Travel', 'count': 169}, {'name': 'General', 'count': 164}, {'name': 'Health', 'count': 154}, {'name': 'World', 'count': 95}]","[{'name': 'College Sports', 'count': 1125}, {'name': 'Soccer', 'count': 510}, {'name': 'Hockey', 'count': 319}, {'name': 'NHL', 'count': 315}, {'name': 'Football', 'count': 314}, {'name': 'NFL', 'count': 280}, {'name': 'Basketball', 'count': 258}, {'name': 'Baseball', 'count': 241}, {'name': 'MLB', 'count': 221}, {'name': 'Academia', 'count': 168}]","[{'name': 'us', 'count': 5783}]","[{'name': 'Non-news', 'count': 1005}, {'name': 'Pop Culture', 'count': 574}, {'name': 'Paid News', 'count': 410}, {'name': 'Opinion', 'count': 250}, {'name': 'Fact Check', 'count': 100}, {'name': 'In-Depth', 'count': 34}, {'name': 'Roundup', 'count': 14}, {'name': 'Good News', 'count': 8}, {'name': 'Gallery', 'count': 1}]",leansLeft,Center,Leans Left,Leans Left,128018368,359,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/USA_Today_Reg_37080f1c2e/USA-Today-Reg_USA_Today_Reg_37080f1c2e.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/USA_Today_Fav_Icon_36ee49268a/USA-Today-FavIcon_USA_Today_Fav_Icon_36ee49268a.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/USA_Today_Square_7576e040a1/USA-Today-Square_USA_Today_Square_7576e040a1.png'}
ee2e2e88f60f46baaf3add7892b6c73c,npr.org,NPR,"['National Public Radio', 'npr.org']",Delivers breaking national and world news. ,1945,False,"[{'name': 'Politics', 'count': 295}, {'name': 'Entertainment', 'count': 92}, {'name': 'General', 'count': 77}, {'name': 'Health', 'count': 72}, {'name': 'Sports', 'count': 52}, {'name': 'Tech', 'count': 47}, {'name': 'Weather', 'count': 38}, {'name': 'Finance', 'count': 27}, {'name': 'Science', 'count': 20}, {'name': 'Business', 'count': 17}]","[{'name': 'Russia-Ukraine War', 'count': 149}, {'name': 'Ukraine', 'count': 99}, {'name': 'Social Issues', 'count': 98}, {'name': 'Russia', 'count': 83}, {'name': 'Joe Biden', 'count': 80}, {'name': 'China', 'count': 64}, {'name': 'Crime', 'count': 63}, {'name': 'California', 'count': 49}, {'name': 'Coronavirus', 'count': 35}, {'name': 'Podcasts', 'count': 35}]","[{'name': 'us', 'count': 2039}]","[{'name': 'Non-news', 'count': 294}, {'name': 'Opinion', 'count': 45}, {'name': 'Pop Culture', 'count': 29}, {'name': 'Roundup', 'count': 6}]",center,Center,Center,Leans Left,113897727,626,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/NPR_Reg_e9de038ebc/NPR-Reg_NPR_Reg_e9de038ebc.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/NPR_Fav_Icon_376d808581/NPR-FavIcon_NPR_Fav_Icon_376d808581.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/NPR_Square_3e73096467/NPR-Square_NPR_Square_3e73096467.png'}
a8525413d1cb4a36b99e5987ae74bd31,nbcnews.com,NBC News,"['nbcnews', 'nbcnews.com', 'national broadcasting company', 'nbc news.com']","The latest top stories and videos on world news, business, politics, health and pop culture.",1913,False,"[{'name': 'Politics', 'count': 802}, {'name': 'World', 'count': 261}, {'name': 'General', 'count': 173}, {'name': 'Entertainment', 'count': 139}, {'name': 'Business', 'count': 131}, {'name': 'Tech', 'count': 127}, {'name': 'Health', 'count': 107}, {'name': 'Science', 'count': 56}, {'name': 'Travel', 'count': 55}, {'name': 'Sports', 'count': 54}]","[{'name': 'Crime', 'count': 184}, {'name': 'Donald Trump', 'count': 147}, {'name': 'Social Issues', 'count': 125}, {'name': 'Congress', 'count': 110}, {'name': 'Joe Biden', 'count': 95}, {'name': 'Russia-Ukraine War', 'count': 95}, {'name': 'GOP', 'count': 88}, {'name': 'California', 'count': 64}, {'name': 'TikTok', 'count': 58}, {'name': 'China', 'count': 57}]","[{'name': 'us', 'count': 2013}]","[{'name': 'Non-news', 'count': 111}, {'name': 'Opinion', 'count': 39}, {'name': 'Paid News', 'count': 38}, {'name': 'Pop Culture', 'count': 22}, {'name': 'Roundup', 'count': 2}, {'name': 'Gallery', 'count': 1}]",leansLeft,Leans Left,Leans Left,Leans Left,84516356,916,{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/NBC_News_Reg_052c0655b5/NBC-News-Reg_NBC_News_Reg_052c0655b5.png'},{'url': 'https://storage.googleapis.com/dev-dispatch-276213.appspot.com/NBC_News_Fav_Icon_37de85c1ae/NBC-News-FavIcon_NBC_News_Fav_Icon_37de85c1ae.png'},{'url': 'https://gawq.s3.us-east-2.amazonaws.com/NBC_News_Square_9708398a2f.png'}
