title,link,tag,desc,page
Russia planning to deploy nuclear weapons in Belarus,https://www.foxnews.com/video/6323804246112,VIDEO,Fox News national security contributor Kiron Skinner weighs in on Russia's growing aggression and says Vladimir Putin is walking a 'nuclear tightrope' on 'Fox News Live.',https://www.foxnews.com/politics
A look at Donald Trump's arraignment schedule ahead of Tuesday court appearance,https://www.foxnews.com/politics/look-donald-trumps-arraignment-schedule-ahead-tuesday-court-appearance,POLITICS,"Law enforcement officials have worked out the logistics of how President Trump will be arraigned in a New York City courthouse on Tuesday, likely about his 2016 hush money scandal.",https://www.foxnews.com/politics
Shannon Bream: Trump could be taking part in criminal trial while on 2024 campaign trail,https://www.foxnews.com/video/6323799144112,VIDEO,"‘Fox News Sunday’ anchor Shannon Bream weighs in on former President Donald Trump's indictment by a New York grand jury in hush-money case and shares her new book, 'The Love Stories of the Bible Speak,' on 'Fox News Live.' ",https://www.foxnews.com/politics
'The Big Saturday Show' examines the possible charges against Trump,https://www.foxnews.com/video/6323800331112,VIDEO,'The Big Saturday Show' co-hosts break down what Americans can expect to see ahead of former President Donald Trump's arraignment.,https://www.foxnews.com/politics
FDA approves Narcan for over-the-counter sales to reduce opioid overdoses,https://www.foxnews.com/video/6323797129112,VIDEO,"Fox News medical contributor Dr. Janette Nesheiwat discusses steps to tackle America's drug crisis and says the FDA's latest move is a bandaid, not an 'end-all solution,' on 'Fox News Live.'",https://www.foxnews.com/politics
Ron DeSantis calls the Trump indictment 'un-American',https://www.foxnews.com/video/6323758928112,VIDEO,How will the GOP's other 2024 presidential candidates respond?  ,https://www.foxnews.com/politics
US Iraq War veteran says 16 casualties of March 2003 attack in Camp Pennsylvania 'deserve Purple Heart',https://www.foxnews.com/us/us-iraq-war-veteran-held-insides-hands-2003-fragging-16-deserve-purple-heart,IRAQ,There's a push to award the 16 victims - including two who died - the Purple Heart following U.S. Army Sgt. Hasan Akbar's March 2003 ambush,https://www.foxnews.com/category/newsedge/politics
Babylon Bee CEO: The world is difficult to satirize right now because it’s so insane,https://www.foxnews.com/politics/babylon-bee-ceo-world-difficult-satirize-right-now-insane,DIGITAL ORIGINALS,Babylon Bee CEO Seth Dillon told Fox News that creating satirical content is becoming more difficult in a world where true news stories read like parody.,https://www.foxnews.com/category/newsedge/politics
"Longtime sports journalist, best-selling author refuses to travel to Texas for Final Four over gun laws",https://www.foxnews.com/sports/journalist-refuses-to-travel-to-texas-for-final-four-over-gun-laws,MARCH MADNESS,"After children and teachers were shot and killed at an elementary school in Texas, author and columnist John Feinstein urged the NCAA to relocate the men's and women's Final Four.",https://www.foxnews.com/category/newsedge/politics
Mike Pence: I know Trump can 'take care of himself',https://www.foxnews.com/media/mike-pence-trump-can-take-care-himself,FOX NEWS FLASH,"Former Vice President Mike Pence shreds the indictment of former President Donald Trump, arguing Americans will see through the unequal treatment under the law on ""Your World.""",https://www.foxnews.com/category/newsedge/politics
Media continues defending TikTok as push to ban app mounts: 'No worse than other social media platforms',https://www.foxnews.com/media/media-continues-defending-tiktok-push-ban-app-mounts-no-worse-than-other-social-media-platforms,MEDIA,"Several media outlets including CNN, The Washington Post and The Los Angeles Times are circling the wagons to defend the embattled social media app TikTok.",https://www.foxnews.com/category/newsedge/politics
"Trump indictment shows left wants Trump 'dead or alive,' Republican congressman says",https://www.foxnews.com/media/trump-indictment-shows-left-wants-trump-dead-alive-republican-congressman-says,MEDIA,"Trump's indictment by a Soros-backed prosecutor shows Democrats would do anything to charge the former president,Florida Republican Brian Mast told CNN.",https://www.foxnews.com/category/newsedge/politics
Shannon Bream on Trump indictment: We are in totally new territory here,https://www.foxnews.com/media/shannon-bream-trump-indictment-totally-new-territory,FOX NEWS FLASH,"Fox News anchor Shannon Bream assesses the ramifications of former President Donald Trump's indictment on ""Special Report.""",https://www.foxnews.com/category/newsedge/politics
Trump indicted after Manhattan DA probe for hush money payments,https://www.foxnews.com/politics/trump-indicted-manhattan-da-probe-stormy-daniels-hush-money-payment,DONALD TRUMP,Former President Donald Trump has been indicted by Manhattan District Attorney Alvin Bragg. The DA has been investigating the former president for hush money payments.,https://www.foxnews.com/category/newsedge/politics
Biden says transgender people 'shape our nation's soul' in official proclamation,https://www.foxnews.com/politics/biden-transgender-people-shape-nations-soul-official-proclamation,JOE BIDEN,"President Biden declared Friday to be the Transgender Day of Visibility on Thursday, arguing in a proclamation that transgender Americans ""shape our nation's soul.""",https://www.foxnews.com/category/newsedge/politics
US Capitol to revamp security after man caught secretly recording Republican senators,https://www.foxnews.com/politics/us-capitol-revamp-security-man-caught-secretly-recording-republican-senators,SENATE,Republican senators have expressed concern after a Capitol employee was arrested and charged with attempting to record lawmakers during a private lunch earlier this month.,https://www.foxnews.com/category/newsedge/politics
Lawmakers get into hallway shouting match over gun violence as Democrat calls Republicans 'cowards',https://www.foxnews.com/politics/lawmakers-hallway-shouting-match-gun-violence-democrat-calls-republicans-cowards,SECOND AMENDMENT,"Reps. Thomas Massie, R-Ky., and Jamaal Bowman, D-N.Y., got into a heated shouting match over gun control on Wednesday, with the two going toe-to-toe for journalists' cameras.",https://www.foxnews.com/category/newsedge/politics
"Reparations for Black Californians could cost $800B, economists warn",https://www.foxnews.com/politics/reparations-black-californians-would-cost-800b-economists-warn,CALIFORNIA,"California's reparations task force was informed that compensating Black residents with reparations would cost the state $800 billion, according to economists they consulted.",https://www.foxnews.com/category/newsedge/politics
White House: 'Impossible' to stay away from 'partisan politics' after Nashville school shooting,https://www.foxnews.com/politics/white-house-impossible-stay-partisan-politics-nashville-school-shooting,JOE BIDEN,It is impossible for the White House to stay away from partisan politics after the school shooting in Nashville on Monday. Officials say Republicans need to endorse gun control.,https://www.foxnews.com/category/newsedge/politics
"Taxpayers fund 'radical gender ideology to create psychopaths,' 2024 candidate says after Nashville shooting",https://www.foxnews.com/politics/taxpayers-fund-radical-gender-ideology-to-create-psychopaths-2024-candidate-says-nashville-shooting,NASHVILLE,"Vivek Ramaswamy, 2024 Republican presidential candidate, questioned the amount of security in schools across the nation after a mass shooter took six lives in Nashville Monday.",https://www.foxnews.com/category/newsedge/politics
'Even Democrats are voting for Trump' if THIS happens: Trump voters weigh in on ex-president's legal fight,https://www.foxnews.com/politics/even-democrats-voting-trump-happens-trump-voters-weigh-ex-presidents-legal-fight,DIGITAL ORIGINALS,Attendees of Donald Trump's first 2024 campaign rally predicted how a potential criminal indictment would affect the former president's reelection bid.,https://www.foxnews.com/category/newsedge/politics
"Importance of traditional American values has plummeted across US, poll shows",https://www.foxnews.com/politics/importance-traditional-american-values-plummeted-us-poll-shows,US,"Many Americans no longer hold the the values that traditionally defined American culture just two decades ago, according to new polling from the Wall Street Journal.",https://www.foxnews.com/category/newsedge/politics
"Elizabeth Warren, 73, announces Senate re-election campaign",https://www.foxnews.com/politics/elizabeth-warren-73-announces-senate-re-election-campaign,ELIZABETH WARREN,"Sen. Elizabeth Warren, D-Mass., will run for re-election in 2024, the 73-year-old politician announced Monday. Warren was first elected to her office in 2012.",https://www.foxnews.com/category/newsedge/politics
When satire becomes reality: Nearly 100 Babylon Bee joke stories have come true,https://www.foxnews.com/entertainment/satire-reality-nearly-100-babylon-bee-joke-stories-come-true,DIGITAL ORIGINALS,"Seth Dillon, the CEO of the satirical right-wing Babylon Bee, told Fox News that nearly 100 of their jokes have turned into real news stories after publication.",https://www.foxnews.com/category/newsedge/politics
Medal of Honor recipients reveal feelings about receiving ‘tremendous honor’: ‘wildly bittersweet’,https://www.foxnews.com/politics/medal-of-honor-recipients-reveal-feelings-about-receiving-tremendous-honor-wildly-bittersweet,POLITICS,Fox News Digital spoke with two Medal of Honor recipients who shared about their experiences receiving the nation's highest military honor ahead of Medal of Honor Day.,https://www.foxnews.com/category/newsedge/politics
Blinken suggests TikTok 'should be ended one way or another',https://www.foxnews.com/politics/blinken-tiktok-should-be-ended,POLITICS,"Secretary of State Antony Blinken said he believes the Chinese Communist Party-linked social media platform TikTok ""should be ended one way or another.""",https://www.foxnews.com/category/newsedge/politics
Florida state rep appears to get trolled with fake names during hearing: 'Anita D---',https://www.foxnews.com/politics/florida-state-rep-appears-get-trolled-fake-names,POLITICS,"A Florida state representative appeared to be trolled during a committee hearing on Monday where he read off sexually-explicit joke names including ""Anita D---"" and ""Holden Hisc---.""",https://www.foxnews.com/category/newsedge/politics
Biden on Affordable Care Act anniversary: Saving lives 'doesn't mean much to our Republican friends',https://www.foxnews.com/politics/biden-affordable-care-act-anniversary-saving-lives-doesnt-mean-much-republican-friends,JOE BIDEN,"President Biden attacked Republicans for supposedly not caring about ""saving lives"" during an event touting the anniversary of the Affordable Care Act on Thursday.",https://www.foxnews.com/category/newsedge/politics
"Manhattan DA Bragg responds to House GOP doc request, says Trump 'created a false expectation' of arrest",https://www.foxnews.com/politics/manhattan-da-bragg-responds-house-gop-doc-request-trump-created-false-expectation-arrest,DONALD TRUMP,Manhattan District Attorney Alvin Bragg responded to several leading House Republicans' information requests on the probe into former President Donald Trump with a Thursday letter.,https://www.foxnews.com/category/newsedge/politics
"Biden approval rating sinks once again, nearly matches lowest-ever rating",https://www.foxnews.com/politics/biden-approval-rating-sinks-once-again-nearly-matches-lowest-ever-rating,JOE BIDEN,"President Biden's approval rating slipped to a poor 38% this month, nearly matching his lowest-ever rating of 36%, which came in July 2022 thanks to economic woes.",https://www.foxnews.com/category/newsedge/politics
TikTok deploys swarm of influencers to US Capitol ahead of expected CEO grilling,https://www.foxnews.com/politics/tiktok-deploys-swarm-influencers-us-capitol-expected-ceo-grilling,POLITICS,"China's CEO is expected to face a grilling before Congress on Thursday, and the company has deployed swarms of influencers to the U.S. Capitol ahead of the hearing.",https://www.foxnews.com/category/newsedge/politics
"Legalized assisted suicide push in US alarms doctors, disability advocates: 'Where do you draw the line?'",https://www.foxnews.com/media/legalized-assisted-suicide-push-u-s-alarms-doctors-disability-advocates-draw-line,CULTURE,Doctors alarmed by the rise in physician-assisted suicide laws across the country told Fox News Digital that the trend will fundamentally change health care.,https://www.foxnews.com/category/newsedge/politics
Sen. Ron Johnson confronts HHS secretary about redacted Fauci emails on COVID-19 origins,https://www.foxnews.com/politics/ron-johnson-confronts-hhs-secretary-redacted-fauci-emails-covid-19-origins,POLITICS,Senator Ron Johnson of Wisconsin and HHS Secretary Xavier Becerra sparred over redacted emails from Dr. Anthony Fauci during a Senate Finance Committee hearing.,https://www.foxnews.com/category/newsedge/politics
"Steel, Cotton introduce bill to stop spread of CCP logistics software in America and abroad",https://www.foxnews.com/politics/steel-cotton-introduce-bill-stop-spread-ccp-logistics-software,POLITICS,Rep. Michelle Steel and Senator Tom Cotton are leading a bill to stop the spread of a Chinese state-owned logistics software tracking US commercial and military supply chains.,https://www.foxnews.com/category/newsedge/politics
