title,link,tag,desc,page
Conservative groups rejoice after House passes major energy package,https://www.foxnews.com/politics/conservative-groups-rejoice-house-passes-major-energy-package,ENERGY,"A coalition of conservative groups praised the House for passing a sweeping energy package that would boost oil production, reform permitting and bolster mineral supplies.",https://www.foxnews.com/category/us/environment/climate-change
Biden nominee coordinated dark money climate nuisance lawsuits involving Leonardo DiCaprio,https://www.foxnews.com/politics/biden-nominee-coordinated-dark-money-climate-nuisance-lawsuits-involving-leonardo-dicaprio,JOE BIDEN,"Ann Carlson, who President Biden nominated to lead the National Highway Traffic Safety Administration, previously coordinated dark money donations for climate nuisance lawsuits.",https://www.foxnews.com/category/us/environment/climate-change
Youth UN adviser says climate change needs to be treated like COVID-19: 'An emergency',https://www.foxnews.com/politics/youth-un-adviser-says-climate-change-needs-treated-covid-19-emergency,CLIMATE CHANGE,"Sophia Kianni, an youth climate activist recently hired by the United Nations as an adviser, is calling for governments to implement pandemic measures to fight global warming.",https://www.foxnews.com/category/us/environment/climate-change
White House blames predecessors for Biden approving massive oil drilling project,https://www.foxnews.com/politics/white-house-blames-predecessors-biden-approving-massive-oil-drilling-project,JOE BIDEN,The Biden administration has repeatedly refused to take credit for approving the Willow Project despite its projected enormous economic benefits and popularity.,https://www.foxnews.com/category/us/environment/climate-change
GOP opens investigation into Biden admin for obstructing US energy producers with 'radical eco-agenda',https://www.foxnews.com/politics/gop-opens-investigation-biden-admin-obstructing-us-energy-producers-radical-eco-agenda,ENERGY,Two House committees are conducting a joint probe into the Biden administration's continued oil and gas leasing delays after a leaked memo showed it prioritizing climate.,https://www.foxnews.com/category/us/environment/climate-change
Biden Cabinet official forced to admit climate agenda is strengthening China,https://www.foxnews.com/politics/biden-cabinet-official-forced-admit-climate-agenda-strengthening-china,ENERGY,"Interior Secretary Deb Haaland, who oversees major federal energy and land management decisions, acknowledged Tuesday that China benefits from the global green energy push.",https://www.foxnews.com/category/us/environment/climate-change
Majority of Democrat voters do not want President Biden to seek reelection,https://www.foxnews.com/video/6323539432112,VIDEO,Coign's Cassie Smedile and former Democratic congressional candidate Desiree Tims discuss shrinking support for Biden-Harris in 2024 and Bill Maher’s comments on climate activists.,https://www.foxnews.com/category/us/environment/climate-change
Top New York Republican scorches state Dems' effort to ban gas stoves: 'An attack on working people',https://www.foxnews.com/politics/top-new-york-republican-scorches-state-dems-effort-ban-gas-stoves-attack-working-people,NEW YORK,"The Republican leader of the New York state Senate blasted state Democrats for pushing policies banning gas stoves, arguing it was an ""attack"" on the working class.",https://www.foxnews.com/category/us/environment/climate-change
John Kerry rushes to defense of climate activist leaders who use private jets,https://www.foxnews.com/politics/john-kerry-rushes-defense-climate-activist-leaders-use-private-jets,CLIMATE CHANGE,U.S. Climate Envoy John Kerry came to the defense of world leaders who fly on gas-guzzling private jets while simultaneously pushing policies to transition the world to green energy.,https://www.foxnews.com/category/us/environment/climate-change
Biden vows to tank GOP effort to boost energy production,https://www.foxnews.com/politics/biden-vows-tank-gop-effort-boost-energy-production,JOE BIDEN,"President Biden vowed Monday to veto the Lower Energy Costs Act, Republicans' effort to boost energy production and reduce barriers for companies to permit projects.",https://www.foxnews.com/category/us/environment/climate-change
"Climate czar John Kerry says Biden will impose more mandates, go farther than Inflation Reduction Act",https://www.foxnews.com/politics/climate-czar-john-kerry-says-biden-impose-more-mandates-go-farther-inflation-reduction-act,JOE BIDEN,"Special Presidential Envoy for Climate John Kerry said the Biden administration plans to unleash additional mandates to reduce emissions, particularly with trucks.",https://www.foxnews.com/category/us/environment/climate-change
UN climate report is latest in string of cataclysmic predictions stretching back decades,https://www.foxnews.com/politics/un-climate-report-latest-string-cataclysmic-predictions-stretching-back-decades,UNITED NATIONS,The United Nations released a climate change report this week filled with stark warnings which the international body has repeated for more than three decades.,https://www.foxnews.com/category/us/environment/climate-change
Steve Moore: Biden's 'Investment in America' tour will be a 'hard sell',https://www.foxnews.com/video/6323281733112,VIDEO,Forbes Media editor-in-chief Steve Forbes and Fox News contributor Joe Concha react to President Biden's 'Investment in America' tour as the administration touts trillions in spending on 'Hannity.',https://www.foxnews.com/category/us/environment/climate-change
Gavin Newsom is in for a rude awakening if big oil proposal passes: Larry Kudlow,https://www.foxnews.com/video/6323251363112,VIDEO,'Kudlow' host Larry Kudlow blasts Gov. Gavin Newsom's proposed plan to punish big oil over 'price gouging' claims on 'America Reports.',https://www.foxnews.com/category/us/environment/climate-change
Biden energy secretary defends praising China on climate change spending in fiery hearing exchange,https://www.foxnews.com/politics/biden-energy-secretary-defends-praising-china-on-climate-change-spending-in-fiery-hearing-exchange,CHINA,Department of Energy Secretary Jennifer Granholm had a heated exchange Friday with Chief Deputy Whip Guy Reschenthaler on her previous comments praising China's energy policy.,https://www.foxnews.com/category/us/environment/climate-change
Republicans probe Biden admin's climate overreach into consumer insurance,https://www.foxnews.com/politics/republicans-probe-biden-admins-climate-overreach-consumer-insurance,CLIMATE CHANGE,A group of Republican lawmakers on a key financial panel are probing the Department of the Treasury over a recent climate change regulation impacting insurance companies.,https://www.foxnews.com/category/us/environment/climate-change
